,Car_Brand,Car_Model,Manufacturing_Year,Original_Price,Selling_price,Delivery_type,Page no
0,Chevrolet,Camaro 2SS,2023,0,0,Home Delivery,1
1,Porsche,Cayenne S Platinum Edition,2023,"133,810","$133,810",Home Delivery,1
2,BMW,430 Gran Coupe i xDrive,2023,"54,295","$54,295",Not Deliverable,1
3,BMW,X3 xDrive30i,2022,"50,720","$50,720",Not Deliverable,1
4,BMW,760 760i xDrive,2023,"117,945","$117,945",Not Deliverable,1
5,BMW,760 760i xDrive,2023,"127,495","$127,495",Not Deliverable,1
6,BMW,i4 Gran Coupe M50,2023,"71,945","$71,945",Not Deliverable,1
7,BMW,430 Gran Coupe i xDrive,2023,"50,895","$50,895",Not Deliverable,1
8,BMW,430 Gran Coupe i xDrive,2023,"55,770","$55,770",Not Deliverable,1
9,Volkswagen,Arteon 2.0T SEL R-Line 4MOTION,2023,"46,156","$46,156",Home Delivery,1
10,Audi,e-tron GT Premium Plus,2023,"111,215","$111,215",Home Delivery,1
11,Audi,A8 L 55,2022,"97,345","$97,345",Home Delivery,1
12,Audi,S4 3.0T Prestige,2023,"65,340","$65,340",Home Delivery,1
13,Audi,SQ8 4.0T quattro Premium Plus,2023,"104,640","$104,640",Hot Car,1
14,Genesis,G80 3.5T Sport,2023,14,14,Home Delivery,1
15,INFINITI,QX55 LUXE,2023,"49,382","$49,382",Home Delivery,1
16,RAM,1500 Limited,2022,16,16,Home Delivery,1
17,Dodge,Durango GT,2022,17,17,Home Delivery,1
18,Dodge,Durango R/T,2022,18,18,Home Delivery,1
19,Dodge,Durango GT,2022,19,19,Home Delivery,1
20,RAM,1500 Limited,2022,20,20,Home Delivery,1
21,Chevrolet,Silverado 1500 RST,2023,21,21,Home Delivery,2
22,Dodge,Challenger GT,2022,22,22,Home Delivery,2
23,Toyota,4Runner TRD Sport,2023,"47,721","$47,721",Hot Car,2
24,Toyota,4Runner Limited,2023,"52,501","$52,501",Not Deliverable,2
25,Ford,Mustang GT Premium,2022,"55,950","$58,770",Home Delivery,2
26,Ford,Mustang GT Premium,2022,"55,950","$58,770",Home Delivery,2
27,Subaru,Impreza Sport,2023,"27,004","$27,004",Home Delivery,2
28,Subaru,Impreza Sport,2023,"28,593","$28,593",Home Delivery,2
29,Subaru,Impreza Premium,2023,"27,376","$27,376",Home Delivery,2
30,Cadillac,XT6 Sport AWD,2022,30,30,Home Delivery,2
31,Cadillac,XT6 Premium Luxury FWD,2023,31,31,Home Delivery,2
32,Cadillac,XT6 Sport AWD,2023,32,32,Home Delivery,2
33,RAM,1500 Limited,2022,33,33,Not Deliverable,2
34,Jeep,Wagoneer Series III,2023,34,34,Not Deliverable,2
35,Honda,Passport TrailSport,2023,"45,580","$45,580",Home Delivery,2
36,Hyundai,Elantra SEL,2022,"23,780","$23,780",Home Delivery,2
37,Jeep,Grand Cherokee Limited,2023,37,37,Not Deliverable,2
38,Jeep,Wrangler Sport,2023,"39,985","$39,985",Not Deliverable,2
39,Jeep,Grand Cherokee Summit,2023,39,39,Not Deliverable,2
40,Subaru,Impreza Premium,2023,"27,606","$27,606",Hot Car,2
41,Subaru,Impreza Premium,2023,"27,373","$27,373",Not Deliverable,2
42,Jeep,Gladiator Overland,2022,"42,683","$42,683",Home Delivery,3
43,Toyota,4Runner 40th Anniversary Special Edition,2023,"47,929","$47,929",Home Delivery,3
44,Toyota,4Runner SR5,2023,"41,159","$41,159",Home Delivery,3
45,Alfa,Romeo Giulia Veloce,2022,"49,315","$49,315",Home Delivery,3
46,Alfa,Romeo Giulia Ti,2022,"44,490","$44,490",Home Delivery,3
47,Ford,Mustang EcoBoost,2022,"37,595","$37,595",Home Delivery,3
48,Ford,EcoSport Titanium,2022,"28,190","$29,690",Home Delivery,3
49,Honda,Odyssey Sport,2023,"42,655","$42,655",Home Delivery,3
50,Honda,Pilot TrailSport,2022,"46,105","$46,105",Home Delivery,3
51,Lexus,ES 350 Luxury,2023,"51,960","$51,960",Hot Car,3
52,Ford,Mustang EcoBoost Premium,2022,"50,580","$50,580",Not Deliverable,3
53,Toyota,4Runner SR5,2023,"39,999","$39,999",Home Delivery,3
54,Lexus,LS 500 F Sport,2022,"89,915","$89,915",Home Delivery,3
55,Lexus,RX 350 Base,2022,"57,125","$57,125",Home Delivery,3
56,BMW,430 Gran Coupe i xDrive,2023,"57,120","$57,120",Home Delivery,3
57,BMW,X3 xDrive30i,2023,"52,225","$52,225",Hot Car,3
58,INFINITI,Q50 LUXE,2023,"47,610","$47,610",Home Delivery,3
59,Mitsubishi,Eclipse Cross SE,2023,59,59,Home Delivery,3
60,Mercedes-Benz,GLA 250 Base 4MATIC,2023,"47,100","$47,100",Home Delivery,3
61,Mercedes-Benz,GLA 250 Base 4MATIC,2023,"49,155","$49,155",Home Delivery,3
